date,trend,city
2025-09-29,56.406858178053824,Hyderabad
2025-09-30,59.30101402220967,Hyderabad
2025-10-01,60.3605284208545,Hyderabad
2025-10-02,59.43266045548654,Hyderabad
2025-10-03,59.34277950310559,Hyderabad
2025-10-04,58.21011434217956,Hyderabad
2025-10-05,59.078747882552236,Hyderabad
2025-10-06,58.05858742706569,Hyderabad
2025-10-07,57.80209392057219,Hyderabad
2025-10-08,57.067424242424245,Hyderabad
2025-10-09,58.18170995670996,Hyderabad
2025-10-10,59.08681199752628,Hyderabad
2025-10-11,59.94674988572504,Hyderabad
2025-10-12,58.936449678685705,Hyderabad
2025-10-13,59.51740205963808,Hyderabad
2025-10-14,60.10441504665106,Hyderabad
2025-10-15,61.514409400123675,Hyderabad
2025-10-16,60.65656307977736,Hyderabad
2025-10-17,60.59518398268398,Hyderabad
2025-10-18,59.969209956709946,Hyderabad
2025-10-19,59.399652133580695,Hyderabad
2025-10-20,59.4919140383426,Hyderabad
2025-10-21,59.217888064316625,Hyderabad
2025-10-22,59.16301793444651,Hyderabad
2025-10-23,58.823602350030924,Hyderabad
